x,y,distance
-10569.872414033984,6574.12154976187,3334.4182147099514
-10549.410649704805,6576.6600198174865,3335.94861111111
-10355.238466192615,6599.457763250693,3348.837499999999
-10314.761251747848,6604.043028285111,3352.147345835521
-10205.360489884082,6615.438735730528,3368.2374999999993
-10154.208323564799,6619.655755524404,3376.3835605881104
-9981.49211854644,6632.689703114871,3394.015277777777
-9912.6698388965,6637.095951169581,3400.5423172199608
-9784.359332892016,6643.709788616489,3413.34861111111
-9735.882361004227,6646.271334566981,3418.250170071155
-9656.959811773866,6650.968205775203,3426.193055555555
-9560.164072932379,6657.410600121717,3435.8862865227493
-9400.470937589538,6668.990864556231,3451.8777590592513
-9369.894578366635,6671.28269765098,3454.9930555555547
-9307.667188663572,6676.23408105764,3461.460263198939
-9125.302159769615,6697.611551359484,3480.5954318656045
-9049.800064175233,6709.801222032255,3486.8819444444434
-8881.475110329959,6740.552007638942,3499.593055555554
-8828.984371676132,6750.98540693865,3504.430205537517
-8704.113014640228,6780.406855807887,3521.759722222221
-8644.458758221977,6796.4529555790605,3529.7383964918563
-8553.282591063677,6821.6503074701095,3539.2075433825316
-8420.038169015563,6863.434338858396,3550.0808333333325
-8209.054331924686,6935.733196678528,3567.5344810873958
-8197.182247857536,6939.978670991076,3568.9474999999993
-8077.775628276164,6987.346198609858,3589.4779498702674
-8043.525013868137,7002.0271136195015,3594.014166666666
-7863.518693358379,7080.6160315673205,3612.747499999999
-7833.346853852273,7093.941574839949,3616.0173265226645
-7718.023503939354,7143.99679399702,3628.4545105896186
-7642.031996813969,7174.203930172938,3634.525277777777
-7472.1416452313115,7237.634988972565,3647.1654623879363
-7374.832627166163,7269.212099029507,3659.4141666666656
-7273.624560198889,7283.5911305668105,3677.8413333884328
-7249.224153442479,7286.202296834294,3680.7252777777767
-7141.914368012584,7294.194209093655,3691.586207874528
-7036.067344301869,7290.553962442193,3701.9586111111103
-7003.614539420221,7288.01704054139,3705.1988361035137
-6824.803223622538,7265.235129300044,3723.03361111111
-6805.582863106277,7261.912344100152,3724.678951642076
-6562.173558765944,7212.7487099801065,3743.9558333333325
-6560.7067213318915,7212.428253831753,3744.1051847383733
-6441.574274371581,7184.923848230073,3761.889166666666
-6378.21160479312,7172.773084692027,3768.0368081064585
-6189.617844706818,7140.428225178492,3779.822499999999
-6117.554606766645,7129.8437313329805,3784.3727781311427
-5918.7433160133405,7116.120164890156,3802.93361111111
-5851.913349182427,7116.106108937704,3812.9352744249363
-5844.179842888236,7116.027422650727,3814.2669444444437
-5791.039196985474,7114.641342195635,3825.3336111111103
-5710.721329095328,7129.984852003754,3836.3113888888884
-5694.463291970542,7134.612310167947,3837.7291994484617
-5455.158375091203,7216.013518742347,3853.4941033615214
-5384.05874839899,7244.745195482268,3859.9113888888883
-5247.600464825418,7334.041599214516,3885.689166666666
-5247.161363897133,7334.344593842396,3885.7526826625567
